path	type	size_bytes	mtime_utc
/home/orchestration/claude-agent-env	dir	0	2025-09-02T03:11:25.040233+00:00
/home/orchestration/logs	dir	0	2025-08-21T21:32:01.404153+00:00
/home/orchestration/data	dir	0	2025-08-16T18:20:51.806325+00:00
/home/orchestration/mega_orchestrator	dir	0	2026-01-15T01:56:41.419696+00:00
/home/orchestration/config	dir	0	2026-01-15T01:57:01.660170+00:00
/home/orchestration/Skladka	dir	0	2025-08-23T08:15:38.304287+00:00
/home/orchestration/node_modules	dir	0	2025-10-12T14:58:35.131871+00:00
/home/orchestration/.claude	dir	0	2025-09-02T03:11:24.933567+00:00
/home/orchestration/.github	dir	0	2026-01-15T01:53:41.088804+00:00
/home/orchestration/claude-agent	dir	0	2026-01-15T01:57:01.653503+00:00
/home/orchestration/docs	dir	0	2026-02-05T04:52:23.751242+00:00
/home/orchestration/tests	dir	0	2026-01-15T01:57:01.680171+00:00
/home/orchestration/mcp-servers	dir	0	2025-10-14T17:30:54.074987+00:00
/home/orchestration/.git	dir	0	2026-02-05T04:22:30.900445+00:00
/home/orchestration/monitoring	dir	0	2026-01-15T01:53:41.218807+00:00
/home/orchestration/.venv	dir	0	2025-08-07T16:04:17.881405+00:00
/home/orchestration/.cursor	dir	0	2025-10-15T18:30:33.300685+00:00
/home/orchestration/milhy777	dir	0	2026-01-15T01:56:41.443030+00:00
/home/orchestration/scripts	dir	0	2026-01-15T01:53:41.228808+00:00
/home/orchestration/docker-compose.yml.bak	file	14369	2026-01-15T01:56:41.389695+00:00
/home/orchestration/CLAUDE.md	file	2199	2026-02-04T11:37:46.423193+00:00
/home/orchestration/.env.backup.pre-commit	file	677	2025-09-02T03:11:24.936900+00:00
/home/orchestration/package-lock.json	file	1167	2026-01-15T01:56:42.733060+00:00
/home/orchestration/MANUAL_KINDLE.md	file	18522	2026-01-15T01:57:01.736839+00:00
/home/orchestration/production_monitor.sh	file	353	2025-08-17T08:59:26.804946+00:00
/home/orchestration/TEST_SUMMARY.md	file	9358	2026-01-15T01:53:41.092138+00:00
/home/orchestration/AGENTS.md	file	2199	2026-02-04T11:37:31.726195+00:00
/home/orchestration/blackbox_mcp_settings.json	file	662	2026-01-15T01:56:41.379695+00:00
/home/orchestration/ELEVENLABS_MCP_SETUP_COMPLETE.md	file	6681	2026-01-15T01:56:41.379695+00:00
/home/orchestration/GEMINI.md	file	2199	2026-02-04T11:38:02.453555+00:00
/home/orchestration/.env	file	677	2025-09-02T03:11:40.736849+00:00
/home/orchestration/README.md	file	6284	2026-01-15T01:53:41.088804+00:00
/home/orchestration/orchestration_backup_20250902_081538.tar.gz	file	106878911	2026-01-15T01:56:42.723060+00:00
/home/orchestration/package.json.backup	file	71	2025-10-15T18:43:10.670589+00:00
/home/orchestration/package.json	file	71	2026-01-15T01:56:42.736394+00:00
/home/orchestration/claude	file	77	2025-08-21T13:49:38.456161+00:00
/home/orchestration/pytest.ini	file	890	2026-01-15T01:53:41.222141+00:00
/home/orchestration/requirements-dev.txt	file	612	2026-01-15T01:53:41.222141+00:00
/home/orchestration/mega_migration_backup_20250902_083935.tar.gz	file	1833263	2026-01-15T01:56:41.413029+00:00
/home/orchestration/MANUAL.md	file	19584	2026-01-15T01:57:01.706838+00:00
/home/orchestration/.gitignore	file	1033	2026-01-15T01:57:01.636837+00:00
/home/orchestration/quick_diagnose.sh	file	3326	2026-01-15T01:56:42.736394+00:00
/home/orchestration/MANUAL.html	file	21396	2026-01-15T01:57:01.706838+00:00
/home/orchestration/.env.backup	file	677	2025-09-02T03:11:24.933567+00:00
/home/orchestration/docker-compose.yml	file	15194	2026-02-05T04:51:01.606037+00:00
/home/orchestration/TEST_SUMMARY_UPDATE.md	file	3447	2026-01-15T01:53:41.092138+00:00
/home/orchestration/.env.example	file	688	2025-08-11T10:17:01.399216+00:00
